gene_name	Geneid	Urban3	Urban1	WT3	Urban2	Diesel3	WT2	Diesel1	Diesel2	WT1
nfrA	944741	286	257	614	291	795	410	597	591	1277
thrL	944742	1423	1004	1781	1079	1361	1072	1497	1332	2432
insB1	944743	137	127	97	124	70	43	124	125	102
sspA	944744	4456	4994	5054	4536	4459	3890	4860	5160	7589
yaaJ	944745	291	241	329	283	527	285	379	464	521
yaaX	944747	844	653	993	652	747	762	753	727	1753
talB	944748	7171	6820	9573	7074	9217	9324	9810	8762	16190
yaaA	944749	350	345	444	332	560	306	605	477	673
dnaK	944750	29680	16916	31089	21287	28830	57562	22916	30535	57131
yaaI	944751	26	23	24	28	21	15	36	33	29
rhmR	944752	60	35	30	31	35	23	41	32	58
dnaJ	944753	3946	2740	4783	3294	5082	5388	4465	5079	7426
insL1	944754	253	205	402	232	313	276	403	393	591
mokC	944756	0	1	0	0	5	3	2	5	2
nhaR	944757	1404	1204	738	1101	825	517	1088	1114	1050
nhaA	944758	2524	1841	1540	1855	1517	1452	2052	1949	2086
rpsT	944759	9467	9697	7080	7628	9200	4402	9351	7650	13111
mog	944760	436	414	421	347	489	373	634	499	784
ileS	944761	9791	11506	14148	10674	12301	15173	12779	12718	28916
dapB	944762	1007	963	768	888	2488	808	966	1928	1902
ygdB	944763	30	35	31	28	38	29	55	34	48
yfjI	944764	8	14	11	10	21	6	15	15	16
caiT	944765	29	15	26	35	19	15	32	23	28
yaaU	944766	22	19	31	24	29	24	59	35	36
kefF	944767	56	93	84	79	100	77	105	92	137
mhpD	944768	361	366	352	380	284	272	337	318	557
idnD	944769	18	13	22	15	22	17	18	10	56
apaH	944770	862	954	883	819	1153	571	1342	975	1616
yaaW	944771	45	29	39	46	62	36	50	46	61
apaG	944772	848	1050	676	907	838	607	974	801	1435
kefC	944773	242	293	218	234	328	213	454	266	476
sspB	944774	1848	1923	1768	1614	1801	1490	1898	2123	3231
carB	944775	3157	4731	3508	3660	6868	3063	22708	5345	8493
ispH	944777	1734	1728	1838	1582	2062	2130	2180	2252	3836
ftsA	944778	3059	3010	2468	3025	2326	2832	2328	2473	3751
polB	944779	1134	1009	706	987	743	814	859	730	1201
araC	944780	145	117	231	151	230	193	233	183	253
yadD	944781	189	179	143	130	161	74	183	141	144
yddE	944782	953	930	951	974	858	940	875	928	1898
